abstract	author	category	desc	level	title	weekday	start_dt	end_dt
	Julia Evans	Opening Statements	Julia Evans is a programmer & data scientist based in Montréal, Quebec. She loves coding, math, playing with datasets, teaching programming, open source communities, and late night discussions on how to dismantle oppression. She co-organizes PyLadies Montréal and Montréal All-Girl Hack Night.		Opening Statements	Friday	2015-04-10 09:00:00	2015-04-10 09:30:00
	Catherine Bracy	Keynote	"Catherine oversees Code for America’s civic engagement portfolio, including the Brigade program. She also founded and runs Code for All, Code for America’s international partnership program.

Until November 2012, she was Director of Obama for America’s technology field office in San Francisco, the first of its kind in American political history. She was responsible for organizing technologists to volunteer their skills to the campaign’s technology and digital efforts.

Prior to joining the campaign, she ran the Knight Foundation’s 2011 News Challenge and before that was the administrative director at Harvard’s Berkman Center for Internet & Society. She is on the board of directors at the Citizen Engagement Lab and the Public Laboratory."		Director, Code for America	Friday	2015-04-10 09:30:00	2015-04-10 10:10:00
	Guido van Rossum	Keynote	"Guido van Rossum is the author of the Python programming language. He continues to serve as the ""Benevolent Dictator For Life"" (BDFL), meaning that he continues to oversee the Python development process, making decisions where necessary. He is currently employed by Dropbox."		Python's Creator	Saturday	2015-04-11 09:00:00	2015-04-11 09:40:00
	Gabriella Coleman	Keynote	"Gabriella (Biella) Coleman holds the Wolfe Chair in Scientific and Technological Literacy at McGill University. Trained as a cultural anthropologist, she researches, writes, and teaches on computer hackers and digital activism and is the author of two books.

Her first book, Coding Freedom: The Ethics and Aesthetics of Hacking, was published with Princeton University Press in 2013 and her most recent book, Hacker, Hoaxer, Whistleblower, Spy: The Many Faces of Anonymous, published by Verso, has been named to Kirkus Reviews' Best Books of 2014.

You can learn more about her work on her website: http://gabriellacoleman.org/."		Author & Professor	Saturday	2015-04-11 09:40:00	2015-04-11 10:20:00
	Van Lindberg	Keynote	Van Lindberg is Vice President of Intellectual Property at Rackspace. He is trained as a computer engineer and lawyer, but what he does best is “translate” to help businesses, techies and attorneys understand each other. Van likes working with both computer code and legal code. For the past several years, he has been using natural language processing and graph theory to help him digest and map the U.S. Patent Database. Van is currently chairman of the board of the Python Software Foundation, as well as the author of Intellectual Property and Open Source.		PSF Chair	Sunday	2015-04-12 09:00:00	2015-04-12 09:20:00
	Jacob Kaplan-Moss	Keynote	Jacob Kaplan-Moss is the co-creator of Django and the founder of the Django Software Foundation. He has over a decade of experience as a web, open source, and Python developer. He is currently Director of Security at Heroku.		Django's Co-creator	Sunday	2015-04-12 09:20:00	2015-04-12 10:00:00
	Gary Bernhardt	Keynote	Gary Bernhardt is a creator and destroyer of software compelled to understand both sides of heated software debates: Vim and Emacs; Python and Ruby; Git and Mercurial. He runs  Destroy All Software, which publishes advanced screencasts for serious developers covering Unix, OO design, TDD, and dynamic languages.		Closing Keynote	Sunday	2015-04-12 15:10:00	2015-04-12 15:50:00
Without virtual environments, your installed libraries can become a mess of spaghetti dependencies. To illustrate this point, we’ll show a couple examples of what can go wrong if you don’t use a virtual environment. Next, we’ll briefly talk about what virtual environments are and how they work. Lastly, we’ll set up sample projects using virtualenv and show you how easy it is to keep your installed libraries isolated for each project.	Renee Chu,Matt Makai	Python Core (language, stdlib, etc.)	Even though it’s possible to program without using virtual environments, you can shoot yourself in the foot without them. This talk will start with an illustration of how not using virtual environments can mess you up as a programmer, and will walk you through a simple way to get started with good habits using virtualenv.	Novice	Don't Make Us Say We Told You So: virtualenv for New Pythonistas	Friday	2015-04-10 16:30:00	2015-04-10 17:00:00
overview This tutorial aims to teach participants how to use standard Python tools and Plotly to create stunning data visualizations which can be shared and leveraged as a platform for collaboration.  takeaways After completion of the tutorial, students will be able to use their data to create matplotlib and Plotly figures from a Python script. They will be able to convert matplotlib figures into interactive graphs and subsequently share them on the web. Beginner Python programmers will get a feel for using the language and all will learn how to make beautiful data visualizations in the browser. requirements To participate in the entire tutorial, students will need to install Python and the following packages: numpy, matplotlib, ipython[notebook], and plotly. Students will also need to create an account here https://plot.ly. They may want to follow the getting started instructions here https://plot.ly/python/getting-started. If students run into any difficulties getting their environments setup for this tutorial they may contact the presenters directly at: andrew@plot.ly, etienne@plot.ly, and marianne@plot.ly. format The format of the tutorial is that of an interactive classroom.  Deriving motivation from real-world data visualization needs in science and journalism, we begin by showing how to get from data to basic, informative visualizations quickly and easily.  Students will then be introduced to different ways of improving and customizing their graphs.  We will also show how to edit existing graphs and instructors will engage students to help them explore on their own.  We will put forward an exploratory approach and address reproducibility, which is made possible by a seamless workflow in the Python world (use of Python scripts, the IPython Notebook, Plotly’s Python package).	Andrew Seier,Étienne Tétreault-Pinard,Marianne Corvellec	Python Libraries	From Python basics to NYT-quality graphics, we walk through workflows to make beautiful, shareable data visualizations. We’ll also explore 3D plotting in the browser, cross-language collaboration, and matplotlib figure conversion. By using Python’s scientific stack and an IPython notebook--attendees may follow along. For data analysts, data journalists, and anyone who likes plots.	Novice	Making Beautiful Graphs in Python and Sharing Them	Thursday	2015-04-09 09:00:00	2015-04-09 12:20:00
Distributed systems are a fairly advanced field of computer science. As systems increase in scale, it's becoming increasingly more important. Furthermore, you could argue that our individual nodes themselves are increasingly becoming like distributed systems. Unfortunately, the field has some similarities to cryptography and information security. They're considered very difficult fields to be left primarily to experts; there's a plethora of papers available on subjects both theoretical and applied, and yet, we seem to do a poor job educating people. Most of us are left to self-educate, but the material is poorly organized for that purpose. This talk intends to give a very brief introduction to distributed systems theory and practice, a kind of selected reading list, rules of thumb, and a healthy dose of existential fear.	lvh	Best Practices & Patterns	A very brief introduction to the theory and practice of distributed systems.	Intermediate	Distributed Systems 101	Friday	2015-04-10 13:40:00	2015-04-10 14:25:00
Are you interested in learning how to orchestrate and configure servers? This tutorial will cover Ansible, a popular orchestration and configuration management tool written in Python. We'll cover:  Writing Ansible playbooks for tasks such as installing and configuration software, and piecing together an application deployment. Writing reusable, exportable Ansible roles. Writing inventory and lookup plugins to extend Ansible's core functionality.  Finally, we'll conclude by deploying an actual application.	Luke Sneeringer	Systems Administration	Interested in Ansible, or in server orchestration and configuration generally? This tutorial will teach the basics -- and a few of the not-so-basics -- of orchestrating machines with Ansible.	Intermediate	Ansible 101	Thursday	2015-04-09 09:00:00	2015-04-09 12:20:00
